"Table 3: Estimated population by sex, five year age group and administrative area, mid-2012",,,,,,,,,,,,,,,,,,,,,,,Persons
,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,Age group,,,,,,,,,,,,,,,,,,,,Area
Area,All Ages,,0 - 4, 5-9, 10-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,
Grampian,"283,628",,"16,688","14,865","15,209","17,384","21,348","20,406","19,329","18,610","20,451","21,339","20,169","18,529","17,561","14,191","10,436","8,098","5,222","2,677","1,116",,Grampian
Greater Glasgow & Clyde,"546,994",,"32,396","29,131","30,067","35,145","45,445","42,514","38,179","33,732","38,981","41,912","39,640","33,873","29,785","25,383","19,209","15,147","9,930","4,663","1,862",,Greater Glasgow & Clyde
Highland,"156,216",,"8,539","8,592","9,172","9,698","8,347","8,292","8,340","8,312","10,474","12,284","11,963","11,373","11,507","10,324","7,452","5,454","3,663","1,762",668,,Highland
Lanarkshire,"314,559",,"19,254","18,772","18,886","20,604","19,854","18,624","19,827","20,128","24,305","25,289","23,719","20,622","18,706","16,126","11,996","8,889","5,530","2,495",933,,Lanarkshire
Lothian,"410,349",,"25,177","22,144","21,278","24,682","33,787","32,253","30,306","28,774","30,415","31,009","28,288","24,113","22,281","18,834","13,756","10,821","7,200","3,712","1,519",,Lothian
Orkney,"10,693",,568,546,560,692,595,560,526,547,718,904,834,802,756,717,576,359,250,124,59,,Orkney
Shetland,"11,770",,741,716,702,753,649,663,687,775,806,949,862,781,825,681,478,340,211,107,44,,Shetland
Tayside,"199,598",,"10,914","10,418","11,272","12,953","15,181","13,080","11,594","10,641","13,305","15,065","14,324","12,924","12,807","11,423","8,663","6,963","4,781","2,329",961,,Tayside
Western Isles,"13,606",,715,743,715,778,677,630,665,765,"1,016","1,035","1,066","1,003","1,088",913,725,507,335,175,55,,Western Isles
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Table 3 (continued),,,,,,,,,,,,,,,,,,,,,,,Females
Females,,,Age group,,,,,,,,,,,,,,,,,,,,Area
Area,All Ages,,0 - 4, 5-9, 10-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,
Scotland,"2,736,310",,"144,803","134,461","137,510","155,874","186,591","176,443","169,629","163,842","199,275","210,727","196,461","173,087","164,836","148,395","119,914","102,192","77,713","47,496","27,061",,Scotland
Council areas,,,,,,,,,,,,,,,,,,,,,,,Council areas
Aberdeen City,"113,624",,"5,919","4,687","4,416","6,479","12,407","10,761","8,586","6,836","7,297","7,619","7,326","6,355","5,898","4,954","4,175","3,792","3,198","1,904","1,015",,Aberdeen City
Aberdeenshire,"128,833",,"7,477","7,083","7,131","7,373","6,163","6,792","7,617","8,441","10,173","10,715","9,489","8,886","8,254","7,096","5,370","4,253","3,234","2,087","1,199",,Aberdeenshire
Angus,"59,758",,"2,975","2,954","3,137","3,429","2,842","3,011","3,159","3,388","4,214","4,490","4,445","4,054","4,144","3,902","2,982","2,537","2,011","1,362",722,,Angus
Argyll & Bute,"44,717",,"2,058","2,053","2,235","2,388","1,898","1,971","1,921","2,281","3,115","3,509","3,420","3,201","3,503","3,262","2,575","2,129","1,575",975,648,,Argyll & Bute
Clackmannanshire,"26,184",,"1,459","1,320","1,416","1,553","1,389","1,432","1,523","1,589","2,019","2,192","1,952","1,714","1,741","1,609","1,138",903,642,375,218,,Clackmannanshire
Dumfries & Galloway,"77,628",,"3,698","3,686","3,736","4,264","3,781","3,687","3,727","3,874","5,319","6,128","5,880","5,547","5,579","5,472","4,302","3,609","2,773","1,637",929,,Dumfries & Galloway
Dundee City,"76,671",,"3,962","3,387","3,409","4,981","8,355","6,013","4,845","3,981","4,550","5,138","5,159","4,243","4,139","3,664","3,244","2,968","2,382","1,507",744,,Dundee City
East Ayrshire,"63,291",,"3,351","3,152","3,321","3,643","3,676","3,605","3,594","3,698","4,882","5,204","4,581","4,147","4,041","3,692","2,867","2,458","1,755","1,015",609,,East Ayrshire
East Dunbartonshire,"54,607",,"2,524","2,724","3,010","3,202","2,947","2,101","2,442","2,910","4,022","4,595","4,474","3,957","3,636","3,382","2,829","2,431","1,758","1,090",573,,East Dunbartonshire
East Lothian,"52,530",,"3,004","2,811","2,851","3,146","2,949","2,553","2,713","3,158","4,135","4,268","3,937","3,359","3,251","2,930","2,380","2,013","1,550",954,568,,East Lothian
East Renfrewshire,"47,669",,"2,421","2,763","2,936","2,948","2,530","1,839","2,183","2,704","3,630","4,047","3,738","3,221","2,910","2,645","2,099","1,928","1,561",954,612,,East Renfrewshire
